,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture
Aroma,1.0,0.6878425070470134,0.6318389411721637,0.5582770997868928,0.5118922122855681,0.5636188991036383,0.1573268704279361,0.19349255734655557,0.0838302355458773,-0.05506482215916608
Flavor,0.6878425070470134,1.0,0.8316696330609991,0.7133678411860584,0.6538695561496602,0.7009980489451975,0.21891647208902706,0.28242957084338494,0.1663959016007517,-0.09308945282705616
Aftertaste,0.6318389411721637,0.8316696330609991,1.0,0.6548500464141223,0.6688073498377693,0.7463956336357108,0.22275341034729934,0.2740554763164525,0.16602150122401566,-0.13615303952138566
Acidity,0.5582770997868928,0.7133678411860584,0.6548500464141223,1.0,0.5940735398975994,0.6124369407058188,0.1627907320990646,0.16321881615084435,0.09867687438115755,-0.06214456620706943
Body,0.5118922122855681,0.6538695561496602,0.6688073498377693,0.5940735398975994,1.0,0.680047166131852,0.09115948911796204,0.12311915311266829,0.0724006158567164,-0.1506654560841522
Balance,0.5636188991036383,0.7009980489451975,0.7463956336357108,0.6124369407058188,0.680047166131852,1.0,0.22063099845369302,0.24357740863355645,0.15491700319801383,-0.17430585748513994
Uniformity,0.1573268704279361,0.21891647208902706,0.22275341034729934,0.1627907320990646,0.09115948911796204,0.22063099845369302,1.0,0.46602442113046266,0.42801725023155585,0.019085994109233912
Clean_Cup,0.19349255734655557,0.28242957084338494,0.2740554763164525,0.16321881615084435,0.12311915311266829,0.24357740863355645,0.46602442113046266,1.0,0.4899760117334931,-0.012319009907897062
Sweetness,0.0838302355458773,0.1663959016007517,0.16602150122401566,0.09867687438115755,0.0724006158567164,0.15491700319801383,0.42801725023155585,0.4899760117334931,1.0,0.024354162660611432
Moisture,-0.05506482215916608,-0.09308945282705616,-0.13615303952138566,-0.06214456620706943,-0.1506654560841522,-0.17430585748513994,0.019085994109233912,-0.012319009907897062,0.024354162660611432,1.0
